Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,22621617,0
H2,2003,2003,2003,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,8765945,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,36,Australia,AUS,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,354,0
H2,2003,2003,2003,2,0,2,Export,8,Albania,ALB,36,Australia,AUS,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,104,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,69255,0
H2,2003,2003,2003,2,0,2,Export,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,16604,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,6125,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,152401,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,467122,0
H2,2003,2003,2003,2,0,2,Export,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,59282,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,112,Belarus,BLR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,38643,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,5720,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,74780,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,32094,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,203,Czechia,CZE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,23338,0
H2,2003,2003,2003,2,0,1,Import,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,11837,0
H2,2003,2003,2003,2,0,2,Export,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,157324,0
