Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7242094,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4918651,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,18801,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,58,Belgium-Luxembourg,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,682,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,626932,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,191,Croatia,HRV,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4953,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,842,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,22285,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,97602,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,276,Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,20328,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,276,Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,29365,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,300,Greece,GRC,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3915337,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,300,Greece,GRC,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1012078,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,376,Israel,ISR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3528,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2024660,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3673756,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,422,Lebanon,LBN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7459,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,470,Malta,MLT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1447,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,528,Netherlands,NLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7607,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,566,Nigeria,NGA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5116,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,616,Poland,POL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2690,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,705,Slovenia,SVN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,175972,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,705,Slovenia,SVN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,78657,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,724,Spain,ESP,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,16990,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,757,Switzerland,CHE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4319,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,757,Switzerland,CHE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5248,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,760,Syria,SYR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,43988,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,792,Turkey,TUR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,232689,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,792,Turkey,TUR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2220,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,66303,0
H1,1997,1997,1997,2,0,2,Export,8,Albania,ALB,807,North Macedonia,MKD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,868,0
H1,1997,1997,1997,2,0,1,Import,8,Albania,ALB,826,United Kingdom,GBR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,40518,0
