Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,40163097,0
H2,2005,2005,2005,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,10447525,0
H2,2005,2005,2005,2,0,3,Re-Export,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2990471,0
H2,2005,2005,2005,2,0,4,Re-Import,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,35776,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,8,Albania,ALB,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,15828,0
H2,2005,2005,2005,2,0,4,Re-Import,8,Albania,ALB,8,Albania,ALB,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,15828,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,185598,0
H2,2005,2005,2005,2,0,2,Export,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,32218,0
H2,2005,2005,2005,2,0,3,Re-Export,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,21000,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,64417,0
H2,2005,2005,2005,2,0,2,Export,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1544,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1835413,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1397898,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,120,Cameroon,CMR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,6383,0
H2,2005,2005,2005,2,0,2,Export,8,Albania,ALB,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,827918,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,90626,0
H2,2005,2005,2005,2,0,2,Export,8,Albania,ALB,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1160,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,196,Cyprus,CYP,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,6125,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,203,Czechia,CZE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,7789,0
H2,2005,2005,2005,2,0,2,Export,8,Albania,ALB,203,Czechia,CZE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,159738,0
H2,2005,2005,2005,2,0,1,Import,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,25035,0
