Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,69002577,0
H4,2016,2016,2016,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,17661635,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,36,Australia,AUS,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1008,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2407597,0
H4,2016,2016,2016,2,0,2,Export,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,13123,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,43568,0
H4,2016,2016,2016,2,0,2,Export,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,66901,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,6662880,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,76,Brazil,BRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,59043,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1029478,0
H4,2016,2016,2016,2,0,2,Export,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,164777,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,112,Belarus,BLR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,51858,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,116,Cambodia,KHM,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,145,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,120,Cameroon,CMR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,477,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,8501,0
H4,2016,2016,2016,2,0,2,Export,8,Albania,ALB,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,24372,0
H4,2016,2016,2016,2,0,1,Import,8,Albania,ALB,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2508557,0
