Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,237407036,0
H2,2002,2002,2002,2,0,2,Export,12,Algeria,DZA,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,356627,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,36,Australia,AUS,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,4159652,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,38455706,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1246537,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,317752,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,76,Brazil,BRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,151456,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1004944,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1637303,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,140,Central African Rep.,CAF,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,100766,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,4275547,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,178,Congo,COG,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,581552,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,99098,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,7406,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,233,Estonia,EST,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,549181,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,246,Finland,FIN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,72469401,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,251,France,FRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,17921506,0
H2,2002,2002,2002,2,0,2,Export,12,Algeria,DZA,251,France,FRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,925,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,266,Gabon,GAB,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,569016,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,276,Germany,DEU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1143916,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,300,Greece,GRC,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,36,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,324,Guinea,GIN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,18512,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,340,Honduras,HND,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,68967,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,344,"China, Hong Kong SAR",HKG,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,49181,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,348,Hungary,HUN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,16029,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,360,Indonesia,IDN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,35971434,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,364,Iran,IRN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,462,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,372,Ireland,IRL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,256,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,381,Italy,ITA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,4345662,0
H2,2002,2002,2002,2,0,2,Export,12,Algeria,DZA,381,Italy,ITA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,143774,0
H2,2002,2002,2002,2,0,1,Import,12,Algeria,DZA,392,Japan,JPN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,7073,0
