Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,253018384,0
H0,1995,1995,1995,2,0,2,Export,12,Algeria,DZA,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,56292,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,92610216,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,58,Belgium-Luxembourg,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1828190,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,76,Brazil,BRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,542718,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,120,Cameroon,CMR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,368661,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,124,Canada,CAN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,9392,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,156,China,CHN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,95027,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,48692,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,246,Finland,FIN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,53079860,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,10704816,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,266,Gabon,GAB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,11105717,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,276,Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,553406,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,344,"China, Hong Kong SAR",HKG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4441,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,360,Indonesia,IDN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,26070868,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,214359,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,392,Japan,JPN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,8065,0
H0,1995,1995,1995,2,0,2,Export,12,Algeria,DZA,434,Libya,LBY,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,11054,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,458,Malaysia,MYS,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2504288,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,490,"Other Asia, nes",,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3002,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,504,Morocco,MAR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,77904,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,616,Poland,POL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2005042,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,620,Portugal,PRT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,16641,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,642,Romania,ROU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1502592,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,643,Russian Federation,RUS,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,896738,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,705,Slovenia,SVN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,589027,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,724,Spain,ESP,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2017484,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,752,Sweden,SWE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,41946496,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,757,Switzerland,CHE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,14392,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,760,Syria,SYR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,6654,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,762,Tajikistan,TJK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,56814,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,784,United Arab Emirates,ARE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7560,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,788,Tunisia,TUN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,243050,0
H0,1995,1995,1995,2,0,2,Export,12,Algeria,DZA,788,Tunisia,TUN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,45092,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,792,Turkey,TUR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,725588,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,818,Egypt,EGY,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,65736,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,12619,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,842,USA,USA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3074126,0
H0,1995,1995,1995,2,0,1,Import,12,Algeria,DZA,899,"Areas, nes",,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,8203,0
H0,1995,1995,1995,2,0,2,Export,12,Algeria,DZA,899,"Areas, nes",,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,146,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,10364836,0
H0,1995,1995,1995,2,0,2,Export,20,Andorra,AND,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,187015,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5471,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,58,Belgium-Luxembourg,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,911,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,124,Canada,CAN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2168,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,156,China,CHN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,21827,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,192,Cuba,CUB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1076,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,246,Finland,FIN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,588,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1590546,0
H0,1995,1995,1995,2,0,2,Export,20,Andorra,AND,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,15524,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,276,Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,80435,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,344,"China, Hong Kong SAR",HKG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,13699,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,360,Indonesia,IDN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,801,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,57524,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,404,Kenya,KEN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1366,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,410,Rep. of Korea,KOR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,10052,0
H0,1995,1995,1995,2,0,1,Import,20,Andorra,AND,600,Paraguay,PRY,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1233,0
