Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,331354560,0
H0,1993,1993,1993,2,0,2,Export,12,Algeria,DZA,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,203636,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,51758268,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,58,Belgium-Luxembourg,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2515212,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,76,Brazil,BRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,863805,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,784927,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,124,Canada,CAN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,31520264,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,156,China,CHN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,688077,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,178,Congo,COG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,588774,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,203,Czechia,CZE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3646,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1708,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,246,Finland,FIN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,25244524,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5016535,0
H0,1993,1993,1993,2,0,1,Import,12,Algeria,DZA,266,Gabon,GAB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4322416,0
