Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7336533,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5415559,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,62271,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1517233,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,100,Bulgaria,BGR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1796,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5472,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,9812,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,144593,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,276,Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,54008,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,276,Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,13652,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,300,Greece,GRC,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3257270,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,300,Greece,GRC,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,562729,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,348,Hungary,HUN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,36651,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,348,Hungary,HUN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5996,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1814884,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4667010,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,528,Netherlands,NLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,16372,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,579,Norway,NOR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,931,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,616,Poland,POL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5569,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,10945,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,705,Slovenia,SVN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,93158,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,705,Slovenia,SVN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,8027,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,724,Spain,ESP,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,18876,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,757,Switzerland,CHE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,16845,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,760,Syria,SYR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3738,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,792,Turkey,TUR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,320205,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,792,Turkey,TUR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2405,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,31926,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,807,North Macedonia,MKD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,6400,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,818,Egypt,EGY,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1024,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,826,United Kingdom,GBR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,36742,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,842,USA,USA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1326,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,891,Serbia and Montenegro,SCG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,12489,0
H1,1996,1996,1996,2,0,1,Import,8,Albania,ALB,899,"Areas, nes",,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,10112,0
H1,1996,1996,1996,2,0,2,Export,8,Albania,ALB,899,"Areas, nes",,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1625,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,167719696,0
H1,1996,1996,1996,2,0,2,Export,12,Algeria,DZA,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,62293,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,43413840,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,48,Bahrain,BHR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,239848,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,58,Belgium-Luxembourg,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,806922,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,76,Brazil,BRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,659593,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,156,China,CHN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,556138,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,178,Congo,COG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,492115,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,203,Czechia,CZE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7603,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1729,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,246,Finland,FIN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,59215916,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5062575,0
H1,1996,1996,1996,2,0,2,Export,12,Algeria,DZA,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,594,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,266,Gabon,GAB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2056342,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,276,Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,105180,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,360,Indonesia,IDN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,22811636,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,316062,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,392,Japan,JPN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,9845,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,400,Jordan,JOR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5700,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,434,Libya,LBY,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,133871,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,458,Malaysia,MYS,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,117119,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,490,"Other Asia, nes",,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3162,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,504,Morocco,MAR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,128458,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,528,Netherlands,NLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,78240,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,562,Niger,NER,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4702,0
H1,1996,1996,1996,2,0,2,Export,12,Algeria,DZA,562,Niger,NER,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1485,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,579,Norway,NOR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,86712,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,642,Romania,ROU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,639597,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,643,Russian Federation,RUS,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,11871999,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,705,Slovenia,SVN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,359075,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,724,Spain,ESP,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,452876,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,752,Sweden,SWE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,16980110,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,757,Switzerland,CHE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,10604,0
H1,1996,1996,1996,2,0,2,Export,12,Algeria,DZA,757,Switzerland,CHE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,59520,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,760,Syria,SYR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,28168,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,764,Thailand,THA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1283,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,784,United Arab Emirates,ARE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,34585,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,788,Tunisia,TUN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,192486,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,792,Turkey,TUR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,166130,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,818,Egypt,EGY,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,66121,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,24637,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,842,USA,USA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,559481,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,891,Serbia and Montenegro,SCG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,11427,0
H1,1996,1996,1996,2,0,1,Import,12,Algeria,DZA,899,"Areas, nes",,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7804,0
H1,1996,1996,1996,2,0,2,Export,12,Algeria,DZA,899,"Areas, nes",,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,694,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,10015989,0
H1,1996,1996,1996,2,0,2,Export,20,Andorra,AND,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,315082,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,58,Belgium-Luxembourg,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,14581,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,156,China,CHN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,40153,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,188,Costa Rica,CRI,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2092,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,192,Cuba,CUB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7389,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,29551,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,218,Ecuador,ECU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2510,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,246,Finland,FIN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,76343,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1454099,0
H1,1996,1996,1996,2,0,2,Export,20,Andorra,AND,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2335,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,276,Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,44864,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,292,Gibraltar,GIB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,615,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,360,Indonesia,IDN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5755,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,19413,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,484,Mexico,MEX,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,671,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,504,Morocco,MAR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4728,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,508,Mozambique,MOZ,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1531,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,528,Netherlands,NLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2068,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,620,Portugal,PRT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,41154,0
H1,1996,1996,1996,2,0,2,Export,20,Andorra,AND,620,Portugal,PRT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3149,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,699,India,IND,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7026,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,724,Spain,ESP,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,8102548,0
H1,1996,1996,1996,2,0,2,Export,20,Andorra,AND,724,Spain,ESP,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,307192,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,752,Sweden,SWE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,89418,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,757,Switzerland,CHE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2202,0
H1,1996,1996,1996,2,0,1,Import,20,Andorra,AND,826,United Kingdom,GBR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,20517,0
