Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,520395278,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,353481333,0
H0,1988,1988,1988,2,0,3,Re-Export,36,Australia,AUS,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,824584,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,32,Argentina,ARG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,11419,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5799,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,8556,0
H0,1988,1988,1988,2,0,3,Re-Export,36,Australia,AUS,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,8556,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,48,Bahrain,BHR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5788,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,50,Bangladesh,BGD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,17319,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,58,Belgium-Luxembourg,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,73142,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,58,Belgium-Luxembourg,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1266921,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,68,Bolivia (Plurinational State of),BOL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,14587,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,76,Brazil,BRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2607128,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,90,Solomon Isds,SLB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,513021,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,76832,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3818,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,100,Bulgaria,BGR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3458,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,104,Myanmar,MMR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,261655,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,124,Canada,CAN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,90409152,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,124,Canada,CAN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,219770,0
H0,1988,1988,1988,2,0,3,Re-Export,36,Australia,AUS,124,Canada,CAN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,781,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,144,Sri Lanka,LKA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,97449,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,152,Chile,CHL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,705297,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,156,China,CHN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1469874,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,162,Christmas Isds,CXR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,13695,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,166,Cocos Isds,CCK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3892,0
H0,1988,1988,1988,2,0,3,Re-Export,36,Australia,AUS,166,Cocos Isds,CCK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2213,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,184,Cook Isds,COK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,981,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,184,Cook Isds,COK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7244,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,188,Costa Rica,CRI,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,85171,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,200,Czechoslovakia,CSK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,48375,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1338087,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,32117,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,218,Ecuador,ECU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,105423,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,230,Fmr Ethiopia,ETH,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3965,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,242,Fiji,FJI,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5541922,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,242,Fiji,FJI,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,333695,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,246,Finland,FIN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2518593,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,6215036,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,120876,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,258,French Polynesia,PYF,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,46218,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,278,Fmr Dem. Rep. of Germany,DDR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,59477,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,280,Fmr Fed. Rep. of Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3870114,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,280,Fmr Fed. Rep. of Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,453423,0
H0,1988,1988,1988,2,0,3,Re-Export,36,Australia,AUS,280,Fmr Fed. Rep. of Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,832,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,288,Ghana,GHA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,24179,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,296,Kiribati,KIR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,96143,0
H0,1988,1988,1988,2,0,3,Re-Export,36,Australia,AUS,296,Kiribati,KIR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4183,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,300,Greece,GRC,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,111920,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,300,Greece,GRC,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,69159,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,328,Guyana,GUY,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1262,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1305005,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,646995,0
H0,1988,1988,1988,2,0,3,Re-Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,119621,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,348,Hungary,HUN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,671,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,360,Indonesia,IDN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,12225296,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,360,Indonesia,IDN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,321436,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,372,Ireland,IRL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7385,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,376,Israel,ISR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,13318,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1743037,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,39902,0
H0,1988,1988,1988,2,0,3,Re-Export,36,Australia,AUS,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,20338,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,384,Côte d'Ivoire,CIV,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,44580,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,392,Japan,JPN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1192783,0
H0,1988,1988,1988,2,0,2,Export,36,Australia,AUS,392,Japan,JPN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,324771797,0
H0,1988,1988,1988,2,0,3,Re-Export,36,Australia,AUS,392,Japan,JPN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,37517,0
H0,1988,1988,1988,2,0,1,Import,36,Australia,AUS,404,Kenya,KEN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,38642,0
