Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,276,Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,186304,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,300,Greece,GRC,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4452866,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,300,Greece,GRC,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,680548,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,348,Hungary,HUN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,18499,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4090730,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,381,Italy,ITA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,6142067,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,392,Japan,JPN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,126,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,528,Netherlands,NLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,257,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,528,Netherlands,NLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1515,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,579,Norway,NOR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,754,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,642,Romania,ROU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,12495,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,30164,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,682,Saudi Arabia,SAU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,375,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,705,Slovenia,SVN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,119625,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,705,Slovenia,SVN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,19718,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,724,Spain,ESP,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,201839,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,752,Sweden,SWE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,11319,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,757,Switzerland,CHE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4348,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,792,Turkey,TUR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,159211,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,804,Ukraine,UKR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2948,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,190392,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,807,North Macedonia,MKD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,43787,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,826,United Kingdom,GBR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,340,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,891,Serbia and Montenegro,SCG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,3816,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,891,Serbia and Montenegro,SCG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,165877,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,10348850,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7359715,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,26854,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,6303,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,56,Belgium,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1173,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,579521,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,112,Belarus,BLR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5272,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,156,China,CHN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,5348,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,36955,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,191,Croatia,HRV,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,15677,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,203,Czechia,CZE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,915,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4153,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,28945,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,246,Finland,FIN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,58160,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,288,0
H1,2000,2000,2000,2,0,2,Export,8,Albania,ALB,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,74104,0
H1,2000,2000,2000,2,0,1,Import,8,Albania,ALB,276,Germany,DEU,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,324976,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,209214166,0
H1,2000,2000,2000,2,0,2,Export,12,Algeria,DZA,0,World,WLD,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,182525,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,28747267,0
H1,2000,2000,2000,2,0,2,Export,12,Algeria,DZA,40,Austria,AUT,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,188,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,56,Belgium,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1687175,0
H1,2000,2000,2000,2,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2784,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,70,Bosnia Herzegovina,BIH,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,226581,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,94425,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,120,Cameroon,CMR,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,89351,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,124,Canada,CAN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,115837,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,152,Chile,CHL,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,771613,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,156,China,CHN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,2470379,0
H1,2000,2000,2000,2,0,2,Export,12,Algeria,DZA,156,China,CHN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,347,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,178,Congo,COG,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,457023,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,191,Croatia,HRV,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,1091051,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,196,Cyprus,CYP,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,204301,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,203,Czechia,CZE,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,78193,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,208,Denmark,DNK,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,4677,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,246,Finland,FIN,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,84284231,0
H1,2000,2000,2000,2,0,1,Import,12,Algeria,DZA,251,France,FRA,44,"Wood and articles of wood, wood charcoal",1,No Quantity,,,7886508,0
