Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,71647881,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,16606301,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,3407284,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,15631,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,138473,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2738,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,7013940,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,7,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,76,Brazil,BRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,29717,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,4366414,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,101106,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,120,Cameroon,CMR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,88526,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,49189,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,183,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,140,Central African Rep.,CAF,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,6971,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2697126,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,157168,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,214609,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,23899,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,203,Czechia,CZE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,80624,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,203,Czechia,CZE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,71,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,149471,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,246,Finland,FIN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2041034,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,251,France,FRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,107159,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,251,France,FRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,264436,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,266,Gabon,GAB,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,293077,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,276,Germany,DEU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2363457,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,276,Germany,DEU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,534488,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,288,Ghana,GHA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,27031,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,300,Greece,GRC,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,16979373,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,300,Greece,GRC,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2523738,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,344,"China, Hong Kong SAR",HKG,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,3018,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,344,"China, Hong Kong SAR",HKG,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,348,Hungary,HUN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2484789,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,360,Indonesia,IDN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,64742,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,372,Ireland,IRL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2055,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,376,Israel,ISR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,6584,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,381,Italy,ITA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,8327937,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,381,Italy,ITA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,11593194,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,384,Côte d'Ivoire,CIV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,87254,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,414,Kuwait,KWT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,281,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,428,Latvia,LVA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,82276,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,440,Lithuania,LTU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,29649,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,490,"Other Asia, nes",,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,53,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,499,Montenegro,MNE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2813336,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,499,Montenegro,MNE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,26447,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,528,Netherlands,NLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,7580,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,528,Netherlands,NLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,117262,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,554,New Zealand,NZL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,21937,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,579,Norway,NOR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,28,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,616,Poland,POL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,246810,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,616,Poland,POL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1327,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,620,Portugal,PRT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,90249,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,634,Qatar,QAT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,209,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,642,Romania,ROU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1727570,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,642,Romania,ROU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,114784,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,46359,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,674,San Marino,SMR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,77,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,682,Saudi Arabia,SAU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,590,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,688,Serbia,SRB,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1725036,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,688,Serbia,SRB,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,444869,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,699,India,IND,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,9100,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,703,Slovakia,SVK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,3486,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,704,Viet Nam,VNM,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2958,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,705,Slovenia,SVN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,628805,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,724,Spain,ESP,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,169513,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,724,Spain,ESP,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,64377,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,740,Suriname,SUR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,4552,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,752,Sweden,SWE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1669341,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,752,Sweden,SWE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,890,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,757,Switzerland,CHE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,420571,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,757,Switzerland,CHE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,24781,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,760,Syria,SYR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,3586,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,764,Thailand,THA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,870,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,792,Turkey,TUR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,10226986,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,792,Turkey,TUR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,772,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,804,Ukraine,UKR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,314145,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,122181,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,807,North Macedonia,MKD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,333198,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,818,Egypt,EGY,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,15,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,818,Egypt,EGY,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,70,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,826,United Kingdom,GBR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,52266,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,826,United Kingdom,GBR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,109024,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,842,USA,USA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,347083,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,842,USA,USA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2369,0
H3,2011,2011,2011,2,0,1,Import,12,Algeria,DZA,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,725510516,0
H3,2011,2011,2011,2,0,2,Export,12,Algeria,DZA,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,766,0
