Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,72508999,0
H3,2009,2009,2009,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,13444732,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,16,American Samoa,ASM,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,165,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,36,Australia,AUS,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,26394,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,4563249,0
H3,2009,2009,2009,2,0,2,Export,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,36507,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,167715,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,68,Bolivia (Plurinational State of),BOL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,17295,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,4744231,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,76,Brazil,BRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,82590,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2602329,0
H3,2009,2009,2009,2,0,2,Export,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,88402,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,120,Cameroon,CMR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,12601,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,17342,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2065441,0
H3,2009,2009,2009,2,0,2,Export,8,Albania,ALB,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,148656,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,250856,0
H3,2009,2009,2009,2,0,2,Export,8,Albania,ALB,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,17788,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,203,Czechia,CZE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,82261,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,27990,0
H3,2009,2009,2009,2,0,2,Export,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,227973,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,246,Finland,FIN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2730749,0
H3,2009,2009,2009,2,0,1,Import,8,Albania,ALB,251,France,FRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,55633,0
H3,2009,2009,2009,2,0,2,Export,8,Albania,ALB,251,France,FRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,216682,0
