Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,53066394,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,11107083,0
H2,2006,2006,2006,2,0,3,Re-Export,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,3847191,0
H2,2006,2006,2006,2,0,4,Re-Import,8,Albania,ALB,0,World,WLD,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1355921,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,373615,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,25325,0
H2,2006,2006,2006,2,0,3,Re-Export,8,Albania,ALB,40,Austria,AUT,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,24700,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,206991,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,56,Belgium,BEL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,22664,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,5775226,0
H2,2006,2006,2006,2,0,4,Re-Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,14424,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,76,Brazil,BRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,67519,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,3328651,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,124,Canada,CAN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,55549,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,156,China,CHN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1212097,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,157381,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,203,Czechia,CZE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,57134,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,203,Czechia,CZE,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,42149,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,26591,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,436360,0
H2,2006,2006,2006,2,0,3,Re-Export,8,Albania,ALB,208,Denmark,DNK,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,436360,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,218,Ecuador,ECU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,8484,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,246,Finland,FIN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,803468,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,251,France,FRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,151260,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,251,France,FRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,198215,0
H2,2006,2006,2006,2,0,3,Re-Export,8,Albania,ALB,251,France,FRA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,198215,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,266,Gabon,GAB,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,16421,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,268,Georgia,GEO,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,4371,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,276,Germany,DEU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1012957,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,276,Germany,DEU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,173116,0
H2,2006,2006,2006,2,0,3,Re-Export,8,Albania,ALB,276,Germany,DEU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,164702,0
H2,2006,2006,2006,2,0,4,Re-Import,8,Albania,ALB,276,Germany,DEU,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,41865,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,288,Ghana,GHA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,23033,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,300,Greece,GRC,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,16994969,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,300,Greece,GRC,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,1199490,0
H2,2006,2006,2006,2,0,3,Re-Export,8,Albania,ALB,300,Greece,GRC,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,568644,0
H2,2006,2006,2006,2,0,4,Re-Import,8,Albania,ALB,300,Greece,GRC,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,459563,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,344,"China, Hong Kong SAR",HKG,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,2495,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,348,Hungary,HUN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,5421,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,360,Indonesia,IDN,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,78599,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,372,Ireland,IRL,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,142,0
H2,2006,2006,2006,2,0,1,Import,8,Albania,ALB,381,Italy,ITA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,14600432,0
H2,2006,2006,2006,2,0,2,Export,8,Albania,ALB,381,Italy,ITA,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,8783883,0
