Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,276,Germany,DEU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3934858,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,276,Germany,DEU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,4339507,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,300,Greece,GRC,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,97590462,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,300,Greece,GRC,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,808349,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,348,Hungary,HUN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3963803,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,352,Iceland,ISL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,679234,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,364,Iran,IRN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,18734,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,376,Israel,ISR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,42894716,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,376,Israel,ISR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,381,Italy,ITA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,403789763,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,381,Italy,ITA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,209984727,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,392,Japan,JPN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,11429,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,398,Kazakhstan,KAZ,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,12566544,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,410,Rep. of Korea,KOR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,8933320,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,428,Latvia,LVA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,105170,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,430,Liberia,LBR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,10147,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,440,Lithuania,LTU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,176412,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,470,Malta,MLT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,46343598,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,499,Montenegro,MNE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,54998,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,499,Montenegro,MNE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1348393,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,528,Netherlands,NLD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1098425,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,528,Netherlands,NLD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,4532,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,591,Panama,PAN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,5896,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,616,Poland,POL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,12177,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,616,Poland,POL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,18721,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,620,Portugal,PRT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,198326,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,620,Portugal,PRT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,14,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,634,Qatar,QAT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2712928,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,642,Romania,ROU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2704876,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,642,Romania,ROU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,36238,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,27431410,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,659,Saint Kitts and Nevis,KNA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,76029,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,678,Sao Tome and Principe,STP,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,56,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,682,Saudi Arabia,SAU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,4594247,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,688,Serbia,SRB,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,65006667,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,688,Serbia,SRB,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,41312926,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,699,India,IND,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,6252084,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,705,Slovenia,SVN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,160860,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,705,Slovenia,SVN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1153444,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,724,Spain,ESP,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1758302,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,724,Spain,ESP,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,54819521,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,748,Swaziland,SWZ,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,4305051,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,752,Sweden,SWE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,22430,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,757,Switzerland,CHE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,103608227,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,757,Switzerland,CHE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,38052170,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,768,Togo,TGO,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,6582,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,784,United Arab Emirates,ARE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,170154,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,788,Tunisia,TUN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1459879,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,792,Turkey,TUR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1477133,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,792,Turkey,TUR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,407177,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,795,Turkmenistan,TKM,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,35927418,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,804,Ukraine,UKR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,9451527,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,804,Ukraine,UKR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,25034,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,774998,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,807,North Macedonia,MKD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,45756,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,818,Egypt,EGY,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,624834,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,826,United Kingdom,GBR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,629026,0
H3,2011,2011,2011,2,0,2,Export,8,Albania,ALB,826,United Kingdom,GBR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,258,0
H3,2011,2011,2011,2,0,1,Import,8,Albania,ALB,842,USA,USA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,4676067,0
H3,2011,2011,2011,2,0,1,Import,12,Algeria,DZA,0,World,WLD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1156441838,0
H3,2011,2011,2011,2,0,2,Export,12,Algeria,DZA,0,World,WLD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,72212502376,0
H3,2011,2011,2011,2,0,1,Import,12,Algeria,DZA,36,Australia,AUS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,61766,0
H3,2011,2011,2011,2,0,1,Import,12,Algeria,DZA,40,Austria,AUT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,58225,0
H3,2011,2011,2011,2,0,2,Export,12,Algeria,DZA,44,Bahamas,BHS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,32094133,0
H3,2011,2011,2011,2,0,1,Import,12,Algeria,DZA,56,Belgium,BEL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,29552453,0
H3,2011,2011,2011,2,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2105813190,0
H3,2011,2011,2011,2,0,1,Import,12,Algeria,DZA,76,Brazil,BRA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,24362,0
H3,2011,2011,2011,2,0,2,Export,12,Algeria,DZA,76,Brazil,BRA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3212544519,0
H3,2011,2011,2011,2,0,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,221,0
H3,2011,2011,2011,2,0,1,Import,12,Algeria,DZA,112,Belarus,BLR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,305058,0
