Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,0,World,WLD,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,2045098630,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,0,World,WLD,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,5652234559,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,0,World,WLD,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,3342079,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,12,Algeria,DZA,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,4898309,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,12,Algeria,DZA,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,15568058,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,32,Argentina,ARG,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,11366394,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,32,Argentina,ARG,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,18135280,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,40,Austria,AUT,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,13451,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,48,Bahrain,BHR,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,14759623,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,48,Bahrain,BHR,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,10781,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,50,Bangladesh,BGD,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,10049232,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,58,Belgium-Luxembourg,BEL,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,598671,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,58,Belgium-Luxembourg,BEL,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,38418940,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,76,Brazil,BRA,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,1944862,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,76,Brazil,BRA,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,66194539,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,3874820,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,90,Solomon Isds,SLB,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,1500,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,96,Brunei Darussalam,BRN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,17482587,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,13688,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,100,Bulgaria,BGR,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,1997794,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,124,Canada,CAN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,7235370,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,124,Canada,CAN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,839,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,144,Sri Lanka,LKA,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,136537,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,152,Chile,CHL,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,12934283,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,156,China,CHN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,17083328,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,156,China,CHN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,24568032,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,162,Christmas Isds,CXR,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,414657,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,166,Cocos Isds,CCK,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,140526,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,170,Colombia,COL,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,18982,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,184,Cook Isds,COK,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,46706,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,196,Cyprus,CYP,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,7078,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,208,Denmark,DNK,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,50636,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,208,Denmark,DNK,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,58381695,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,242,Fiji,FJI,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,32439142,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,242,Fiji,FJI,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,3163,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,246,Finland,FIN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,1134,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,251,France,FRA,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,1515061,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,251,France,FRA,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,110086269,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,258,French Polynesia,PYF,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,40612322,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,260,Fr. South Antarctic Terr.,ATF,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,48457,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,260,Fr. South Antarctic Terr.,ATF,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,48457,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,280,Fmr Fed. Rep. of Germany,DEU,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,10179304,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,280,Fmr Fed. Rep. of Germany,DEU,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,1174943,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,296,Kiribati,KIR,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,153537,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,300,Greece,GRC,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,33647326,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,241305,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,103727679,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,348,Hungary,HUN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,27646,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,360,Indonesia,IDN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,190184449,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,360,Indonesia,IDN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,89528039,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,360,Indonesia,IDN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,59751,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,372,Ireland,IRL,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,76524,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,372,Ireland,IRL,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,4379727,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,376,Israel,ISR,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,5077,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,376,Israel,ISR,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,11565535,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,381,Italy,ITA,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,36665544,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,381,Italy,ITA,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,52531098,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,381,Italy,ITA,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,28872,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,392,Japan,JPN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,5613629,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,392,Japan,JPN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,2411895545,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,392,Japan,JPN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,13174,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,404,Kenya,KEN,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,260289,0
H0,1989,1989,1989,2,0,1,Import,36,Australia,AUS,410,Rep. of Korea,KOR,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,4828537,0
H0,1989,1989,1989,2,0,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,380329148,0
H0,1989,1989,1989,2,0,3,Re-Export,36,Australia,AUS,410,Rep. of Korea,KOR,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,88437,0
