Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,0,World,WLD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,810052650,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,0,World,WLD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,615911412,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,12,Algeria,DZA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3716174,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,36,Australia,AUS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1005972,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,40,Austria,AUT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,224086,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,40,Austria,AUT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,103,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,56,Belgium,BEL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,336307,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,6131436,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,70,Bosnia Herzegovina,BIH,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,74064,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,76,Brazil,BRA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,240,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1653083,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,100,Bulgaria,BGR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,58637,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,112,Belarus,BLR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,68346,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,124,Canada,CAN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,4640412,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,124,Canada,CAN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,53232,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,144,Sri Lanka,LKA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,6681,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,156,China,CHN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,43233,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,156,China,CHN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,486088,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,191,Croatia,HRV,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,19805673,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,196,Cyprus,CYP,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,440,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,196,Cyprus,CYP,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,10926711,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,203,Czechia,CZE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3372509,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,208,Denmark,DNK,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2887683,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,208,Denmark,DNK,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,630450,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,233,Estonia,EST,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,22287,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,246,Finland,FIN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,19673,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,251,France,FRA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3856917,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,251,France,FRA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,402878,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,276,Germany,DEU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3718752,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,276,Germany,DEU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,14046367,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,300,Greece,GRC,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,124253054,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,300,Greece,GRC,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2783743,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,344,"China, Hong Kong SAR",HKG,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,41515,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,348,Hungary,HUN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,145510,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,376,Israel,ISR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,7685783,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,376,Israel,ISR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2238,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,381,Italy,ITA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,262013934,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,381,Italy,ITA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,238148407,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,384,Côte d'Ivoire,CIV,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,280163,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,392,Japan,JPN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,6996,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,398,Kazakhstan,KAZ,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3637217,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,404,Kenya,KEN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,110631,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,410,Rep. of Korea,KOR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,5694,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,414,Kuwait,KWT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,24041,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,422,Lebanon,LBN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1749424,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,428,Latvia,LVA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,105412,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,430,Liberia,LBR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,68716,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,434,Libya,LBY,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,13863860,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,434,Libya,LBY,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,4740840,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,440,Lithuania,LTU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,415109,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,458,Malaysia,MYS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,14943,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,470,Malta,MLT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,150931160,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,484,Mexico,MEX,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,270,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,499,Montenegro,MNE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,4001,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,499,Montenegro,MNE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1060057,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,528,Netherlands,NLD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,939289,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,528,Netherlands,NLD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,60348,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,566,Nigeria,NGA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,21869,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,616,Poland,POL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,579100,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,616,Poland,POL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,75371,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,620,Portugal,PRT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,190328,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,620,Portugal,PRT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,45611,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,642,Romania,ROU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,8961670,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,642,Romania,ROU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,449972,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,28461392,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,682,Saudi Arabia,SAU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,622382,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,682,Saudi Arabia,SAU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3527128,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,688,Serbia,SRB,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,92351857,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,688,Serbia,SRB,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,39188756,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,699,India,IND,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,149673,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,699,India,IND,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,13,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,703,Slovakia,SVK,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,116473,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,705,Slovenia,SVN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,252906,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,705,Slovenia,SVN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,849044,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,710,South Africa,ZAF,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,59316,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,724,Spain,ESP,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2568597,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,724,Spain,ESP,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,134246582,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,752,Sweden,SWE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,21039,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,757,Switzerland,CHE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,117597731,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,757,Switzerland,CHE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3279150,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,768,Togo,TGO,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,11974,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,784,United Arab Emirates,ARE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,86643,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,784,United Arab Emirates,ARE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,708,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,788,Tunisia,TUN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,17400967,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,788,Tunisia,TUN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1327048,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,792,Turkey,TUR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2557236,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,792,Turkey,TUR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,4746255,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,795,Turkmenistan,TKM,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,11340784,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,804,Ukraine,UKR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,98924,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,804,Ukraine,UKR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,54212,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,109898,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,807,North Macedonia,MKD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1115242,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,818,Egypt,EGY,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,4097578,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,826,United Kingdom,GBR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1494980,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,826,United Kingdom,GBR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,59,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,842,USA,USA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,55515393,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,842,USA,USA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,254,0
H4,2014,2014,2014,2,0,1,Import,8,Albania,ALB,899,"Areas, nes",,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,841290,0
H4,2014,2014,2014,2,0,2,Export,8,Albania,ALB,899,"Areas, nes",,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,267866,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,0,World,WLD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2843743035,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,0,World,WLD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,58713994470,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,8,Albania,ALB,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,350,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,24,Angola,AGO,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2122,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,36,Australia,AUS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,133128,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,36,Australia,AUS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,360,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,40,Austria,AUT,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,9977,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,44,Bahamas,BHS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,18819281,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,44,Bahamas,BHS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,18351209,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,56,Belgium,BEL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,63278539,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1711562254,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,70,Bosnia Herzegovina,BIH,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,40419,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,76,Brazil,BRA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,30348862,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,76,Brazil,BRA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,2653057671,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,84,Belize,BLZ,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,53600,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,110203785,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,112,Belarus,BLR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,23789101,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,124,Canada,CAN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,40062,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,124,Canada,CAN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1320256311,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,156,China,CHN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,185975,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,156,China,CHN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,1724943580,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,170,Colombia,COL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,43845228,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,178,Congo,COG,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,23162,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,191,Croatia,HRV,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,23688297,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,192,Cuba,CUB,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,206944654,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,196,Cyprus,CYP,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,14800494,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,203,Czechia,CZE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,17509,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,208,Denmark,DNK,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,94827,0
H4,2014,2014,2014,2,0,2,Export,12,Algeria,DZA,208,Denmark,DNK,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,3557764,0
H4,2014,2014,2014,2,0,1,Import,12,Algeria,DZA,233,Estonia,EST,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1,No Quantity,,,213318,0
